date,sym,exp,dte,spot,atm,straddle,em_pct,iv,iv_skew,pcr,max_pain,cw,pw,fut_oi,fut_oi_chg,opt_val
2026-04-10,BANKNIFTY,2026-04-28,18,55912.75,55900.0,2014.7,3.6,20.31,1.04,0.84,55500.0,58000;60000;59000,58000;52000;55000,2489370.0,-17010.0,3647647006504.5
2026-04-10,BANKNIFTY,2026-05-26,46,55912.75,55900.0,3142.25,5.62,19.77,1.26,0.79,56000.0,60000;57000;58000,58000;50000;53000,2489370.0,-17010.0,116509158453.0
2026-04-10,NIFTY,2026-04-13,3,24050.6,24050.0,282.6,1.18,16.24,1.5,1.17,23950.0,25000;24500;24900,23000;22500;24000,21503040.0,-1216995.0,137931495853521.5
2026-04-10,NIFTY,2026-04-21,11,24050.6,24050.0,581.5,2.42,17.43,1.24,1.0,23950.0,26000;25000;25500,21000;23000;20100,21503040.0,-1216995.0,4195131078037.25
2026-04-13,BANKNIFTY,2026-04-28,15,55605.05,55600.0,2193.0,3.94,24.38,0.67,0.92,55300.0,60000;58000;61000,58000;55000;54000,2474160.0,-15210.0,3768913094167.5
2026-04-13,BANKNIFTY,2026-05-26,43,55605.05,55600.0,3338.9,6.0,21.88,0.27,0.57,57000.0,60000;55000;58000,60000;58000;50000,2474160.0,-15210.0,239520389367.0
2026-04-13,NIFTY,2026-04-13,0,23842.65,23850.0,17.2,0.07,2.38,0.39,1.21,23850.0,23850;23900;24500,23800;23000;23850,21726900.0,223860.0,565777767462157.2
2026-04-13,NIFTY,2026-04-21,8,23842.65,23850.0,589.9,2.47,20.94,1.79,1.1,23800.0,25000;24500;26000,23000;22000;22500,21726900.0,223860.0,11548076930370.5
2026-04-15,BANKNIFTY,2026-04-28,13,56301.95,56300.0,1826.3,3.24,21.52,0.83,0.91,55500.0,60000;58000;59000,55000;54000;52000,2628510.0,154350.0,4190813237328.0
2026-04-15,BANKNIFTY,2026-05-26,41,56301.95,56300.0,2979.35,5.29,19.73,0.38,0.73,58000.0,60000;57000;58000,60000;58000;54000,2628510.0,154350.0,258182106463.5
2026-04-15,NIFTY,2026-04-21,6,24231.3,24250.0,439.9,1.82,17.75,2.32,1.11,24200.0,25000;25500;24200,23000;24200;22500,21075470.0,-651430.0,54229059160181.75
2026-04-15,NIFTY,2026-04-28,13,24231.3,24250.0,639.9,2.64,17.53,2.46,1.07,24000.0,26000;25000;24000,23000;22000;24000,21075470.0,-651430.0,3641714487957.0
2026-04-16,BANKNIFTY,2026-04-28,12,56086.4,56100.0,1732.8,3.09,21.35,0.62,0.88,55500.0,60000;59000;61000,55000;54000;52000,2639070.0,10560.0,4173036818014.5
2026-04-16,BANKNIFTY,2026-05-26,40,56086.4,56100.0,2878.85,5.13,19.38,0.24,0.76,58000.0,60000;57000;62000,60000;58000;56000,2639070.0,10560.0,206023749489.0
2026-04-16,NIFTY,2026-04-21,5,24196.75,24200.0,373.1,1.54,16.5,2.95,0.87,24200.0,25000;25500;24800,23000;23500;23200,20780175.0,-295295.0,65265243299324.25
2026-04-16,NIFTY,2026-04-28,12,24196.75,24200.0,612.7,2.53,17.48,3.04,1.06,24000.0,26000;25000;24500,22000;24000;23000,20780175.0,-295295.0,4160430042606.5
2026-04-17,BANKNIFTY,2026-04-28,11,56565.7,56600.0,1599.2,2.83,20.41,0.64,0.96,55800.0,60000;58000;59000,54000;55000;52000,2602470.0,-36600.0,4067796896398.5
2026-04-17,BANKNIFTY,2026-05-26,39,56565.7,56600.0,2713.8,4.8,18.34,0.01,0.79,58000.0,60000;58000;57000,60000;54000;56000,2602470.0,-36600.0,230023855492.5
2026-04-17,NIFTY,2026-04-21,4,24353.55,24350.0,315.2,1.29,15.48,1.94,1.02,24250.0,25000;25500;24800,23000;24000;23500,20544095.0,-236080.0,104051888324312.5
2026-04-17,NIFTY,2026-04-28,11,24353.55,24350.0,559.5,2.3,16.55,2.04,1.16,24050.0,26000;25000;24500,21000;23000;22500,20544095.0,-236080.0,5028194835222.0
2026-04-20,BANKNIFTY,2026-04-28,8,56582.35,56600.0,1589.0,2.81,23.78,1.77,1.01,56000.0,60000;59000;61000,55000;54000;52000,2434770.0,-167700.0,5809511533953.0
2026-04-20,BANKNIFTY,2026-05-26,36,56582.35,56600.0,2795.35,4.94,19.67,0.6,0.87,58500.0,60000;57000;59000,60000;54000;58000,2434770.0,-167700.0,310712346988.5
